id,title,public_type,specific_type,decision,confidence,current_subjects,proposed_subjects,add,remove,taxonomy_gap,rationale,summary,source_path
additive-synthesis,Additive synthesis,concept,concept,change,high,computation|sound,number|computation|sound,number,,,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","Building a complex timbre by summing simple waveforms, typically sine tones, at chosen amplitudes.",content/library/concept/additive-synthesis/index.md
algorithmic-music,Algorithmic Music,concept,concept,retain,high,sound|computation|form,form|computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Composing via algorithms or formal rule systems, from computer-generated scores to live coding.",content/library/concept/algorithmic-music/index.md
analog-computer,Analog computer,concept,concept,change,high,computation,number|dynamics|computation,number|dynamics,,Signal,"Adds Number, Dynamics because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure; state change, oscillation, stability, or evolving systems.",A computing paradigm representing and solving problems with continuously variable physical quantities rather than discrete digital states.,content/library/concept/analog-computer/index.md
autopoiesis,Autopoiesis,concept,concept,change,high,cybernetics|feedback,morphogenesis|dynamics|cybernetics,morphogenesis|dynamics,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.",A system that produces and maintains itself by continuously creating its own component parts — Maturana and Varela's 1972 term for the self-organization of living systems.,content/library/concept/autopoiesis/index.md
cellular-automata,Cellular automata,concept,concept,change,medium,computation,form|morphogenesis|dynamics|computation,form|morphogenesis|dynamics,,,"Adds Form, Morphogenesis, Dynamics because the record explicitly concerns structure, pattern, topology, or organization; the production, emergence, or transformation of form; state change, oscillation, stability, or evolving systems.","A grid of cells, each in one of a small set of states, updated all at once by a simple local rule — from which strikingly complex global behavior can emerge.",content/library/concept/cellular-automata/index.md
chimera,Chimera state,concept,concept,change,high,dynamics,time|form|dynamics,time|form,,,"Adds Time, Form because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; structure, pattern, topology, or organization.","A pattern in a network of identical, coupled oscillators where one group locks into synchrony while another remains incoherent — impossible under purely local or purely global coupling.",content/library/concept/chimera/index.md
computer-music,Computer music,concept,concept,retain,high,computation|sound,computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Music composed or generated with the aid of computation, from the earliest MUSIC-N software onward.",content/library/concept/computer-music/index.md
digital-sampling,Digital sampling,concept,concept,retain,high,computation|sound|memory,computation|sound|memory,,,Signal,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Recording and digitally storing a sound for playback, pitch-shifting, and manipulation.",content/library/concept/digital-sampling/index.md
entropy,Entropy,concept,concept,change,high,cybernetics|computation,number|dynamics,number|dynamics,cybernetics|computation,Information,"Cybernetics appears associated with the creator or surrounding context rather than developed in the entry as control, regulation, communication, adaptation, or observer–system relations.","A measure of disorder or uncertainty — Boltzmann's statistical-mechanical quantity, and Shannon's 1948 measure of information.",content/library/concept/entropy/index.md
feedback,Feedback,concept,concept,change,high,cybernetics|feedback,dynamics|cybernetics|feedback,dynamics,,,"Adds Dynamics because the record explicitly concerns state change, oscillation, stability, or evolving systems.","A system's output routed back as its own input, forming a causal loop — the organizing mechanism of self-regulation in cybernetics.",content/library/concept/feedback/index.md
