id,title,public_type,specific_type,current_collection,proposed_collections,music,confidence,rationale,source_path
additive-synthesis,Additive synthesis,concept,concept,research,research;music,yes,high,"core additive sound-synthesis technique, inverse of subtractive synthesis.",content/library/entry/concept/additive-synthesis/index.md
algorithmic-music,Algorithmic Music,concept,concept,research,research;music,yes,high,"explicitly a music-composition practice, from the Illiac Suite to live coding.",content/library/entry/concept/algorithmic-music/index.md
analog-computer,Analog computer,concept,concept,research,research,no,medium,"entry is substantively about general analog computing history (Bush's differential analyzer, Philbrick op-amps, aircraft/missile guidance); the tie to voltage-controlled music synthesizers is one closing sentence, not the entry's subject.",content/library/entry/concept/analog-computer/index.md
autopoiesis,Autopoiesis,concept,concept,research,research,no,high,Maturana/Varela's biology/cybernetics self-organization concept; no musical content in the entry.,content/library/entry/concept/autopoiesis/index.md
cellular-automata,Cellular automata,concept,concept,research,research,no,medium,"computation/mathematics concept (von Neumann, Conway's Game of Life); no musical application described in this entry.",content/library/entry/concept/cellular-automata/index.md
chimera,Chimera state,concept,concept,research,research,no,high,dynamical-systems oscillator-synchronization phenomenon; no musical content.,content/library/entry/concept/chimera/index.md
computer-music,Computer music,concept,concept,research,research;music,yes,high,the entry is literally the concept of music composed/generated with computation.,content/library/entry/concept/computer-music/index.md
digital-sampling,Digital sampling,concept,concept,research,research;music,yes,high,"core sampling technique behind musical sampling instruments (Fairlight, Emulator).",content/library/entry/concept/digital-sampling/index.md
entropy,Entropy,concept,concept,research,research,no,high,"thermodynamics/information-theory concept; entry is entirely Boltzmann/Shannon, no musical content.",content/library/entry/concept/entropy/index.md
feedback,Feedback,concept,concept,research,research,no,medium,"entry frames feedback entirely through cybernetics/control theory (governor, thermostat, servo); no audio-feedback musical practice described despite the term's real importance to electronic music.",content/library/entry/concept/feedback/index.md
free-improvisation,Free Improvisation,concept,concept,research,research;music,yes,high,"explicitly a musical performance practice (AMM, Derek Bailey, Spontaneous Music Ensemble).",content/library/entry/concept/free-improvisation/index.md
frequency-modulation,Frequency modulation (synthesis),concept,concept,research,research;music,yes,high,core FM synthesis technique behind the Yamaha DX lineage.,content/library/entry/concept/frequency-modulation/index.md
governor,Governor,concept,concept,research,research,no,high,"steam-engine speed regulator, the etymological root of 'cybernetics'; no musical content.",content/library/entry/concept/governor/index.md
granular-synthesis,Granular synthesis,concept,concept,research,research;music,yes,high,"core granular sound-synthesis technique (Xenakis, Curtis Roads).",content/library/entry/concept/granular-synthesis/index.md
harmolodics,Harmolodics,concept,concept,research,research;music,yes,high,"Ornette Coleman's theory of harmony, melody, and rhythm — explicitly musical.",content/library/entry/concept/harmolodics/index.md
hilbert-transform,Hilbert Transform,concept,concept,research,research;music,yes,medium,"primarily a mathematical operator, but the entry names concrete electronic-music applications (phase vocoders, frequency shifters, envelope followers) as real uses, not incidental ones.",content/library/entry/concept/hilbert-transform/index.md
limit-cycle,Limit cycle,concept,concept,research,research,no,high,"dynamical-systems oscillation concept (Poincaré, Van der Pol oscillator); no musical content.",content/library/entry/concept/limit-cycle/index.md
manifold,Manifold,concept,concept,research,research,no,medium,"general geometry/topology concept; 'synthesis algorithm parameter space' is one incidental example among several, not the entry's thesis.",content/library/entry/concept/manifold/index.md
